Designator,Mid X,Mid Y,Rotation,Layer
C1,186.69,-63.627,90.0,top
C10,188.709,-46.863,0.0,top
C11,196.355,-66.929,180.0,top
C12,204.597,-48.514,-90.0,top
C13,193.294,-66.929,0.0,top
C14,205.994,-62.865,-90.0,top
C2,185.166,-63.627,90.0,top
C3,204.343,-66.548,0.0,top
C4,204.343,-68.072,0.0,top
C5,172.53,-57.023,90.0,top
C6,174.308,-57.023,90.0,top
C7,199.657,-70.866,0.0,top
C8,174.385,-70.333,-90.0,top
C9,176.163,-70.333,-90.0,top
D1,179.6675,-57.785,180.0,top
D10,190.969,-41.901,0.0,top
D11,215.011,-42.228,0.0,top
D12,178.2665,-75.204,90.0,top
D13,208.2545,-77.724,180.0,top
D14,186.397,-35.043,0.0,top
D15,210.563,-35.116,0.0,top
D16,170.3925,-79.776,90.0,top
D17,213.018,-85.344,180.0,top
D18,211.836,-62.7635,90.0,top
D19,178.2035,-46.746,-90.0,top
D2,179.87725,-50.673,180.0,top
D20,193.992,-77.552,0.0,top
D21,211.709,-45.847,90.0,top
D22,211.836,-71.9075,-90.0,top
D23,178.2035,-37.5765,90.0,top
D24,184.848,-77.552,180.0,top
D25,211.709,-54.9655,-90.0,top
D26,218.694,-67.3355,-90.0,top
D27,170.3295,-42.174,90.0,top
D28,189.42,-85.09,180.0,top
D29,219.075,-50.419,-90.0,top
D3,179.896,-54.229,180.0,top
D4,179.8705,-52.451,180.0,top
D5,179.6675,-56.261,180.0,top
D6,181.825,-41.901,180.0,top
D7,205.867,-42.228,180.0,top
D8,178.2665,-84.348,-90.0,top
D9,217.9065,-77.724,0.0,top
J1,161.8835,-60.246,-90.0,top
J10,163.7885,-86.888,-90.0,top
J11,163.7885,-79.776,-90.0,top
J12,213.106,-91.694,0.0,top
J13,220.218,-91.694,0.0,top
J14,226.695,-84.328,90.0,top
J15,163.7255,-34.554,-90.0,top
J16,181.8,-91.694,0.0,top
J17,226.695,-49.022,90.0,top
J18,226.695,-69.596,90.0,top
J19,226.695,-76.708,90.0,top
J2,194.017,-28.439,180.0,top
J20,163.7255,-42.174,-90.0,top
J21,163.7255,-49.286,-90.0,top
J22,189.42,-91.694,0.0,top
J23,196.532,-91.694,0.0,top
J24,226.695,-41.402,90.0,top
J25,226.695,-34.29,90.0,top
J3,217.929,-28.512,180.0,top
J4,163.7885,-72.156,-90.0,top
J5,205.486,-91.694,0.0,top
J6,186.397,-28.439,180.0,top
J7,179.285,-28.439,180.0,top
J8,210.309,-28.512,180.0,top
J9,203.197,-28.512,180.0,top
R1,185.928,-60.833,0.0,top
R10,205.867,-40.45,180.0,top
R11,176.4885,-84.348,-90.0,top
R12,217.932,-79.756,0.0,top
R13,190.969,-40.123,0.0,top
R14,215.011,-40.45,0.0,top
R15,176.4885,-75.141,90.0,top
R16,208.28,-79.756,180.0,top
R17,189.191,-34.027,90.0,top
R18,186.397,-33.519,180.0,top
R19,183.857,-34.027,-90.0,top
R2,176.594,-57.785,180.0,top
R20,212.979,-34.1,90.0,top
R21,210.439,-33.592,180.0,top
R22,207.645,-34.1,-90.0,top
R23,169.6305,-77.236,180.0,top
R24,168.8685,-79.776,-90.0,top
R25,169.6305,-82.316,0.0,top
R26,210.566,-86.106,-90.0,top
R27,213.106,-86.868,0.0,top
R28,215.646,-86.106,90.0,top
R29,213.614,-62.7635,90.0,top
R3,176.82925,-50.673,180.0,top
R30,176.4255,-46.746,-90.0,top
R31,193.992,-79.33,0.0,top
R32,213.487,-45.847,90.0,top
R33,213.614,-71.9075,-90.0,top
R34,176.4255,-37.602,90.0,top
R35,184.911,-79.33,180.0,top
R36,213.487,-54.991,-90.0,top
R37,219.71,-69.8755,0.0,top
R38,220.472,-67.2725,90.0,top
R39,219.71,-64.5415,180.0,top
R4,176.848,-54.229,180.0,top
R40,169.5675,-39.634,180.0,top
R41,168.8055,-42.174,-90.0,top
R42,169.5045,-44.714,0.0,top
R43,186.88,-85.852,-90.0,top
R44,189.357,-86.614,0.0,top
R45,191.96,-85.852,90.0,top
R46,219.837,-52.959,0.0,top
R47,220.599,-50.419,90.0,top
R48,219.837,-47.879,180.0,top
R5,176.848,-52.451,180.0,top
R6,176.594,-56.261,180.0,top
R7,199.657,-72.39,180.0,top
R8,190.754,-67.691,90.0,top
R9,181.825,-40.123,180.0,top
U1,196.342,-56.769,90.0,top
U10,214.249,-50.419,0.0,top
U2,175.401,-64.237,-90.0,top
U3,186.397,-39.361,90.0,top
U4,210.439,-39.688,90.0,top
U5,175.4725,-79.776,180.0,top
U6,213.106,-80.518,-90.0,top
U7,214.376,-67.3355,0.0,top
U8,175.4095,-42.174,180.0,top
U9,189.42,-80.264,-90.0,top
Y1,194.818,-69.723,0.0,top
